"Episode","Length","Reward","IMG","LOG"
"2799","16.460000000000001","-1.2739999999999985","./frames/image2799.gif","./frames/log2799.csv"
"2899","10.32","-0.53199999999999958","./frames/image2899.gif","./frames/log2899.csv"
"2999","24.140000000000001","-2.3619999999999965","./frames/image2999.gif","./frames/log2999.csv"
"3099","11.359999999999999","-0.63599999999999968","./frames/image3099.gif","./frames/log3099.csv"
"3199","3.5","0.10999999999999995","./frames/image3199.gif","./frames/log3199.csv"
"3299","6.2999999999999998","0.02999999999999985","./frames/image3299.gif","./frames/log3299.csv"
"3399","7.1399999999999997","-0.23599999999999963","./frames/image3399.gif","./frames/log3399.csv"
"3499","7.3399999999999999","-0.073999999999999705","./frames/image3499.gif","./frames/log3499.csv"
"3599","7.0800000000000001","-0.40799999999999975","./frames/image3599.gif","./frames/log3599.csv"
"3699","5.2000000000000002","0.17999999999999997","./frames/image3699.gif","./frames/log3699.csv"
"3799","6.54","0.14400000000000046","./frames/image3799.gif","./frames/log3799.csv"
"3899","7.7000000000000002","-0.1939999999999992","./frames/image3899.gif","./frames/log3899.csv"
"3999","6.8799999999999999","-0.1299999999999995","./frames/image3999.gif","./frames/log3999.csv"
"4099","7.6200000000000001","0.014000000000000748","./frames/image4099.gif","./frames/log4099.csv"
"4199","9.4399999999999995","-0.26599999999999918","./frames/image4199.gif","./frames/log4199.csv"
"4299","6.0","0.01999999999999999","./frames/image4299.gif","./frames/log4299.csv"
"4399","5.2199999999999998","0.13799999999999998","./frames/image4399.gif","./frames/log4399.csv"
"4499","2.7999999999999998","0.53999999999999992","./frames/image4499.gif","./frames/log4499.csv"
"4599","8.0399999999999991","-0.12599999999999933","./frames/image4599.gif","./frames/log4599.csv"
"4699","5.7999999999999998","0.16000000000000025","./frames/image4699.gif","./frames/log4699.csv"
"4799","6.4400000000000004","-0.0059999999999993617","./frames/image4799.gif","./frames/log4799.csv"
"4899","4.7199999999999998","0.34800000000000009","./frames/image4899.gif","./frames/log4899.csv"
"4999","9.6400000000000006","0.016000000000000712","./frames/image4999.gif","./frames/log4999.csv"
"5099","3.8399999999999999","0.51600000000000001","./frames/image5099.gif","./frames/log5099.csv"
"5199","2.5800000000000001","0.64200000000000002","./frames/image5199.gif","./frames/log5199.csv"
"5299","5.0800000000000001","0.23200000000000004","./frames/image5299.gif","./frames/log5299.csv"
"5399","4.5199999999999996","0.2660000000000004","./frames/image5399.gif","./frames/log5399.csv"
"5499","3.04","0.39599999999999996","./frames/image5499.gif","./frames/log5499.csv"
"5599","10.039999999999999","-0.28599999999999909","./frames/image5599.gif","./frames/log5599.csv"
"5699","4.4000000000000004","0.37999999999999995","./frames/image5699.gif","./frames/log5699.csv"
"5799","6.5999999999999996","0.17800000000000046","./frames/image5799.gif","./frames/log5799.csv"
"5899","5.1600000000000001","0.22400000000000009","./frames/image5899.gif","./frames/log5899.csv"
"5999","3.8999999999999999","0.63","./frames/image5999.gif","./frames/log5999.csv"
"6099","12.1","-0.35399999999999898","./frames/image6099.gif","./frames/log6099.csv"
"6199","11.359999999999999","-0.43999999999999895","./frames/image6199.gif","./frames/log6199.csv"
"6299","6.2999999999999998","0.39000000000000029","./frames/image6299.gif","./frames/log6299.csv"
"6399","3.5","0.3899999999999999","./frames/image6399.gif","./frames/log6399.csv"
"6499","6.5","0.25000000000000022","./frames/image6499.gif","./frames/log6499.csv"
"6599","8.4399999999999995","-0.0059999999999993262","./frames/image6599.gif","./frames/log6599.csv"
