"WORD","X","Y"
"may","8.4443044270932983","-2.1494371612502956"
"See","0.94952466549770087","5.8697709906875843"
"including","3.3718113259382667","2.6179585190133436"
"May","1.443469922237824","7.1438716138307381"
"##th","-2.9777037619409454","3.3042063325039068"
"name","-5.5199131651514541","-3.8321138540379946"
"people","-11.607914816501975","-2.5138920244243894"
"?","1.4680596170105695","5.1088307127678885"
"before","3.5002391873931735","2.3710933454776417"
"States","-6.10223937462683","5.1036386817976345"
"so","6.7053849106734571","-3.5359441222907466"
"both","0.65518387720995541","2.9341550965172392"
"born","5.9270045491442369","0.99179583537851224"
"article","-4.8545891964039303","-4.3166318099105752"
"March","1.4454840284522712","7.1202432325370708"
"June","1.4546735801885775","7.1246188291069243"
"July","1.4485267819876999","7.108823698903338"
